Parent-Group,TransactionCode,SourceCode,,,,
Child-Group,PaymentDate,Amount,OtherPartyAccountNumber,,,
Code-Finger-Print,,,,,,
Sign,-,,,,,
Analysis,largest-subset-test,z-score,,,,
,,,,,,
TransactionCode,SourceCode,PaymentDate,Amount,OtherPartyAccountNumber,count,z-score
0,DD,2015-01-05 00:00:00.0000000 +13:00,-12469.94,0xB3E625E58AD2BB7418916E1630505D61,1,-0.072115265
0,DD,2015-01-05 00:00:00.0000000 +13:00,-30471.4,0x878806F81F0423F1C255B40DD1CED9AF,1,-0.072115265
0,DD,2015-01-05 00:00:00.0000000 +13:00,-903.68,0xFE450EFB9AE1EE80484C35F0C344FCBF,1,-0.072115265
0,DD,2015-01-06 00:00:00.0000000 +13:00,-20891.38,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-01-07 00:00:00.0000000 +13:00,-19073.1,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-01-08 00:00:00.0000000 +13:00,-2066.13,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-01-09 00:00:00.0000000 +13:00,-9977.54,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-01-12 00:00:00.0000000 +13:00,-1055.52,0xFE450EFB9AE1EE80484C35F0C344FCBF,1,-0.072115265
0,DD,2015-01-12 00:00:00.0000000 +13:00,-145214.46,0xC72DAF9EE7FF49443FDC36024F25F5DB,1,-0.072115265
0,DD,2015-01-12 00:00:00.0000000 +13:00,-5153.7,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-01-12 00:00:00.0000000 +13:00,-973.04,0xFE450EFB9AE1EE80484C35F0C344FCBF,1,-0.072115265
0,DD,2015-01-13 00:00:00.0000000 +13:00,-14846.2,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-01-14 00:00:00.0000000 +13:00,-18076.32,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-01-15 00:00:00.0000000 +13:00,-1014.65,0xFE450EFB9AE1EE80484C35F0C344FCBF,1,-0.072115265
0,DD,2015-01-15 00:00:00.0000000 +13:00,-139.73,0xEFA43FD3D213394B2228ECB9FBD34A63,1,-0.072115265
0,DD,2015-01-15 00:00:00.0000000 +13:00,-46,0x0B4EFC6E375129AA0F0B07ECB85FED42,1,-0.072115265
0,DD,2015-01-15 00:00:00.0000000 +13:00,-6431.99,0x6B698031D2C0191A990C0A3DB8DFBEFD,1,-0.072115265
0,DD,2015-01-16 00:00:00.0000000 +13:00,-10652,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-01-19 00:00:00.0000000 +13:00,-5228.8,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-01-20 00:00:00.0000000 +13:00,-112.88,0x1C4E1FDC23D6B1A6BD8F1A245CBCC968,1,-0.072115265
0,DD,2015-01-20 00:00:00.0000000 +13:00,-116.29,0x1C4E1FDC23D6B1A6BD8F1A245CBCC968,1,-0.072115265
0,DD,2015-01-20 00:00:00.0000000 +13:00,-1338.14,0x1C4E1FDC23D6B1A6BD8F1A245CBCC968,1,-0.072115265
0,DD,2015-01-20 00:00:00.0000000 +13:00,-17009.5,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-01-20 00:00:00.0000000 +13:00,-18.4,0xBD932A22D48A0FCB7EE3B0BF4C6D3373,1,-0.072115265
0,DD,2015-01-20 00:00:00.0000000 +13:00,-181.39,0xA224C533865458758857BE42FAF1FF05,1,-0.072115265
0,DD,2015-01-20 00:00:00.0000000 +13:00,-3,0xF35D825667C3EBD93060F5E6028C7BEB,1,-0.072115265
0,DD,2015-01-20 00:00:00.0000000 +13:00,-31054.77,0xEEDD0DDDCD376DA19607CF27E4E54259,1,-0.072115265
0,DD,2015-01-20 00:00:00.0000000 +13:00,-50.82,0x1C4E1FDC23D6B1A6BD8F1A245CBCC968,1,-0.072115265
0,DD,2015-01-20 00:00:00.0000000 +13:00,-57.31,0x1C4E1FDC23D6B1A6BD8F1A245CBCC968,1,-0.072115265
0,DD,2015-01-20 00:00:00.0000000 +13:00,-58.06,0x1C4E1FDC23D6B1A6BD8F1A245CBCC968,1,-0.072115265
0,DD,2015-01-20 00:00:00.0000000 +13:00,-79.59,0x1C4E1FDC23D6B1A6BD8F1A245CBCC968,1,-0.072115265
0,DD,2015-01-21 00:00:00.0000000 +13:00,-9337.78,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-01-21 00:00:00.0000000 +13:00,-986.06,0xFE450EFB9AE1EE80484C35F0C344FCBF,1,-0.072115265
0,DD,2015-01-22 00:00:00.0000000 +13:00,-8579.72,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-01-23 00:00:00.0000000 +13:00,-1232.24,0x0B62B7B0AB389EC2DE2BEBE41F1B8C2B,1,-0.072115265
0,DD,2015-01-23 00:00:00.0000000 +13:00,-14833.86,0xC654D556E7F7EEAA5FAB1DA3B6803656,1,-0.072115265
0,DD,2015-01-23 00:00:00.0000000 +13:00,-153786.8,0x05F7626A0AED5353921B9CC6E2E35567,1,-0.072115265
0,DD,2015-01-23 00:00:00.0000000 +13:00,-1775.85,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-01-26 00:00:00.0000000 +13:00,-10377.1,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-01-26 00:00:00.0000000 +13:00,-2362.91,0x9D08180D66099F80B505AA9D094DE0AB,1,-0.072115265
0,DD,2015-01-27 00:00:00.0000000 +13:00,-338.07,0x641E684C377D49F619E445F202886C72,1,-0.072115265
0,DD,2015-01-27 00:00:00.0000000 +13:00,-356.95,0xB16F3369A0BA06138012B0A9C7B5A740,1,-0.072115265
0,DD,2015-01-27 00:00:00.0000000 +13:00,-9538.47,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-01-28 00:00:00.0000000 +13:00,-11408.72,0xC35B6A0B1EC8226ACC245EDEF193554C,1,-0.072115265
0,DD,2015-01-28 00:00:00.0000000 +13:00,-12592.3,0xB3E625E58AD2BB7418916E1630505D61,1,-0.072115265
0,DD,2015-01-29 00:00:00.0000000 +13:00,-26595.18,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-01-30 00:00:00.0000000 +13:00,-12747.78,0xB3E625E58AD2BB7418916E1630505D61,1,-0.072115265
0,DD,2015-01-30 00:00:00.0000000 +13:00,-2072.66,0x82B3C05D1B04CCBDB0B80066E7726A52,1,-0.072115265
0,DD,2015-01-30 00:00:00.0000000 +13:00,-2086.2,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-02-02 00:00:00.0000000 +13:00,-12469.94,0xB3E625E58AD2BB7418916E1630505D61,1,-0.072115265
0,DD,2015-02-02 00:00:00.0000000 +13:00,-30378.75,0x878806F81F0423F1C255B40DD1CED9AF,1,-0.072115265
0,DD,2015-02-02 00:00:00.0000000 +13:00,-7561.06,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-02-03 00:00:00.0000000 +13:00,-13062.42,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-02-04 00:00:00.0000000 +13:00,-10125.93,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-02-05 00:00:00.0000000 +13:00,-903.68,0xFE450EFB9AE1EE80484C35F0C344FCBF,1,-0.072115265
0,DD,2015-02-05 00:00:00.0000000 +13:00,-9923.6,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-02-09 00:00:00.0000000 +13:00,-9521,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-02-10 00:00:00.0000000 +13:00,-22404.3,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-02-10 00:00:00.0000000 +13:00,-973.04,0xFE450EFB9AE1EE80484C35F0C344FCBF,1,-0.072115265
0,DD,2015-02-11 00:00:00.0000000 +13:00,-1055.52,0xFE450EFB9AE1EE80484C35F0C344FCBF,1,-0.072115265
0,DD,2015-02-11 00:00:00.0000000 +13:00,-13455.4,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-02-11 00:00:00.0000000 +13:00,-64617.69,0xC72DAF9EE7FF49443FDC36024F25F5DB,1,-0.072115265
0,DD,2015-02-12 00:00:00.0000000 +13:00,-2606.49,0x6B698031D2C0191A990C0A3DB8DFBEFD,1,-0.072115265
0,DD,2015-02-12 00:00:00.0000000 +13:00,-5372.7,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-02-13 00:00:00.0000000 +13:00,-3823.19,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-02-16 00:00:00.0000000 +13:00,-1014.65,0xFE450EFB9AE1EE80484C35F0C344FCBF,1,-0.072115265
0,DD,2015-02-16 00:00:00.0000000 +13:00,-139.73,0xEFA43FD3D213394B2228ECB9FBD34A63,1,-0.072115265
